time,x-rotation,y-rotation,z-rotation
7.400,-6.540,-59.783,-67.119
7.440,4.619,-41.021,-37.119
7.480,-6.810,-17.588,-20.046
7.520,-34.798,-0.492,-2.565
7.560,-10.842,7.127,11.410
7.600,21.993,15.282,20.686
7.640,-5.816,12.264,11.159
7.680,7.866,10.751,14.619
7.720,-37.995,15.758,32.005
7.760,-12.268,15.549,30.415
7.800,-2.931,10.320,27.652
7.840,-17.793,6.738,33.357
7.880,-15.183,9.821,41.959
7.920,28.464,4.200,38.948
7.960,11.021,-5.766,30.705
8.000,-18.819,-7.485,26.479
8.040,9.760,-6.479,26.513
8.080,-8.403,-7.835,25.221
8.120,3.826,-1.162,17.915
8.160,26.997,1.532,16.143
8.200,37.477,2.207,12.919
8.240,29.123,9.013,8.159
8.280,20.419,13.373,6.528
8.320,11.860,13.289,7.157
8.360,10.560,11.151,6.631
8.400,14.051,11.288,4.848
8.440,9.821,8.933,3.693
8.480,4.886,7.649,1.547
8.520,10.030,7.348,-2.431
8.560,3.327,6.898,-2.142
8.600,-7.229,10.606,-0.454
8.640,-7.828,12.660,0.957
8.680,-6.612,11.959,1.159
8.720,-4.379,11.894,1.174
8.760,-2.805,9.230,1.402
8.800,-1.570,8.506,0.751
8.840,3.064,10.229,1.094
8.880,6.006,8.258,2.130
8.920,1.677,4.710,2.683
8.960,2.854,2.915,2.515
9.000,1.909,1.825,1.974
9.040,0.926,1.208,1.025
9.080,0.343,1.532,0.865
9.120,0.278,1.307,0.804
9.160,-0.255,1.132,0.431
9.200,-1.018,0.309,-0.545
9.240,0.770,-0.263,-1.006
9.280,1.643,-0.114,-1.311
9.320,3.281,-0.183,-1.875
9.360,2.477,1.010,-1.806
9.400,0.495,1.185,-1.330
9.440,-0.400,1.463,-1.307
9.480,0.823,2.115,-1.402
9.520,-0.335,2.409,-1.589
9.560,0.145,3.327,-1.300
9.600,0.701,3.735,-0.724
9.640,0.366,3.617,-0.400
9.680,2.755,3.655,-0.446
9.720,4.120,3.750,-0.240
9.760,-0.004,2.595,0.072
9.800,1.429,2.367,0.069
9.840,2.134,3.091,0.804
9.880,0.808,1.665,0.446
9.920,0.320,0.297,-1.540
9.960,1.551,-0.259,-2.001
10.000,0.983,0.084,-0.633
10.040,0.713,-0.495,-0.415
10.080,0.899,-1.730,-0.751
10.120,0.404,-1.684,-0.145
10.160,-0.133,-1.128,0.145
10.200,-0.194,-1.650,0.240
10.240,-1.784,-1.814,-0.137
10.280,0.766,-2.027,-0.957
10.320,-1.460,-2.458,-1.231
10.360,-2.016,-1.269,-0.655
10.400,-0.076,-0.042,0.278
10.440,-3.498,0.587,0.366
10.480,-2.938,0.084,-1.101
10.520,1.357,-1.037,-1.890
10.560,0.758,-0.492,-1.585
10.600,1.383,0.446,-1.258
10.640,1.723,0.915,-0.930
10.680,1.399,0.484,-0.857
10.720,-0.111,0.107,-1.067
10.760,-0.191,0.305,-1.033
10.800,1.021,0.972,-1.094
10.840,1.825,0.915,-1.597
10.880,3.209,0.686,-2.142
10.920,2.450,1.197,-1.227
10.960,0.476,2.115,0.339
11.000,-0.080,2.245,0.751
11.040,-1.128,1.303,0.019
11.080,0.034,0.861,-0.640
11.120,0.804,0.579,-0.899
11.160,1.349,0.621,-1.223
11.200,0.827,1.067,-1.307
11.240,0.709,1.075,-1.627
11.280,0.602,1.212,-1.540
11.320,-0.587,2.134,-1.071
11.360,-0.682,2.599,-0.553
11.400,-0.835,3.213,0.050
11.440,0.149,3.758,0.499
11.480,0.145,6.067,1.795
11.520,0.575,9.684,4.859
11.560,-0.857,12.012,8.022
11.600,-1.768,14.493,10.880
11.640,3.826,19.245,15.747
11.680,5.941,30.915,25.389
11.720,11.189,47.508,44.627
11.760,-9.204,64.299,57.454
11.800,-19.082,70.122,52.050
11.840,30.404,40.046,40.457
11.880,-5.198,-2.104,4.966
11.920,-9.188,-33.750,-39.676
11.960,4.333,-55.652,-73.601
12.000,-15.202,-69.592,-96.322
12.040,-37.542,-77.149,-108.567
12.080,-60.198,-74.139,-111.441
12.120,-58.403,-69.261,-104.402
12.160,-14.375,-60.179,-90.366
12.200,29.360,-56.723,-58.647
12.240,37.363,-44.143,-39.676
12.280,21.631,-26.585,-24.710
12.320,10.751,-16.875,-12.359
12.360,3.323,-7.500,-5.922
12.400,-4.726,3.617,3.155
12.440,-2.046,10.774,11.341
12.480,20.987,15.335,21.124
12.520,-15.057,8.975,18.236
12.560,25.934,-2.081,-0.572
12.600,-45.290,16.444,29.211
12.640,-39.085,15.575,37.538
12.680,14.920,9.973,30.111
12.720,25.492,6.235,24.726
12.760,32.725,7.374,28.788
12.800,36.383,17.500,31.688
12.840,54.809,15.507,27.058
12.880,18.575,6.341,24.173
12.920,6.261,2.496,18.761
12.960,48.014,2.229,16.242
13.000,48.902,13.258,17.851
13.040,26.315,18.106,17.153
13.080,4.577,16.585,17.569
13.120,-1.707,19.962,18.727
13.160,-9.581,20.583,20.869
13.200,-8.544,16.395,21.410
13.240,-6.433,13.647,21.730
13.280,-2.489,15.168,22.607
13.320,-2.447,17.946,23.548
13.360,-8.643,20.313,26.886
13.400,1.791,17.409,26.433
13.440,7.755,15.194,24.531
13.480,12.858,15.381,23.800
13.520,17.691,16.970,22.835
13.560,24.809,19.440,22.382
13.600,30.572,21.917,21.216
13.640,26.917,29.238,23.457
13.680,37.210,37.931,30.191
13.720,46.391,44.863,33.510
13.760,18.765,55.385,36.989
13.800,-3.697,67.847,46.040
13.840,14.211,74.497,59.486
13.880,28.479,81.681,77.359
13.920,44.463,85.248,94.809
13.960,20.274,91.867,102.287
14.000,-28.933,77.591,88.380
14.040,2.713,21.025,29.966
14.080,89.367,-23.041,-49.764
14.120,32.508,-66.113,-101.254
14.160,-72.691,-108.495,-124.546
14.200,-67.443,-119.619,-124.874
14.240,-15.617,-124.874,-124.562
14.280,-22.290,-124.874,-124.832
14.320,-50.495,-123.864,-124.874
14.360,-76.513,-112.248,-123.106
14.400,-90.061,-91.845,-115.614
14.440,-83.430,-69.668,-100.560
14.480,-28.251,-56.048,-71.986
14.520,34.261,-51.364,-32.477
14.560,55.697,-21.795,-14.897
14.600,-9.486,0.084,5.114
14.640,-44.162,10.945,20.259
14.680,-13.220,17.119,28.083
14.720,-30.625,13.022,21.993
14.760,42.222,-0.438,-4.935
14.800,-54.947,20.423,26.159
14.840,-25.964,16.726,31.852
14.880,8.769,9.836,22.081
14.920,-10.743,4.668,22.519
14.960,18.338,6.604,26.822
15.000,14.737,10.202,29.790
15.040,34.771,11.932,26.307
15.080,31.871,7.919,21.120
15.120,-9.992,2.557,20.492
15.160,1.970,5.255,19.371
15.200,34.688,8.834,15.042
15.240,33.472,5.335,12.550
15.280,23.811,0.354,11.136
15.320,17.622,2.294,8.902
15.360,7.694,4.451,10.907
15.400,-6.970,5.777,11.082
15.440,2.252,6.662,9.337
15.480,1.139,8.598,10.732
15.520,-3.018,10.229,11.223
15.560,-11.684,9.729,12.927
15.600,-9.882,9.592,10.998
15.640,-5.152,9.962,8.876
15.680,-14.082,13.098,8.365
15.720,3.548,12.226,5.694
15.760,14.527,8.220,3.979
15.800,9.958,5.854,4.135
15.840,0.812,3.380,4.032
15.880,2.934,3.106,2.428
15.920,9.047,3.498,1.555
15.960,9.817,2.816,1.159
16.000,3.220,2.706,0.614
16.040,1.570,2.207,0.393
16.080,3.887,0.998,-0.339
16.120,3.891,0.579,-1.524
16.160,1.970,0.998,-1.704
16.200,4.325,0.309,-2.687
16.240,6.875,-0.633,-3.563
16.280,3.853,1.056,-2.450
16.320,-1.166,3.129,-0.926
16.360,-0.252,3.464,-0.774
16.400,-1.136,3.521,-0.686
16.440,-1.006,3.921,-0.393
16.480,-1.540,3.144,-0.583
16.520,-0.004,1.059,-1.883
16.560,1.719,0.953,-2.473
16.600,2.527,2.233,-1.646
16.640,2.767,2.912,-0.972
16.680,2.218,2.752,-0.473
16.720,-1.349,1.883,-0.934
16.760,-1.738,0.812,-1.326
16.800,-0.728,0.625,-1.090
16.840,1.467,0.579,-1.082
16.880,1.517,0.438,-1.269
16.920,-1.082,0.495,-0.991
16.960,-0.332,0.522,-0.777
17.000,0.282,1.353,-0.903
17.040,0.640,1.075,-1.082
17.080,-0.046,0.244,-1.311
17.120,-0.091,0.492,-0.587
17.160,-0.968,0.697,0.099
17.200,0.636,-0.084,-0.252
17.240,1.890,-0.316,-0.377
17.280,1.189,-0.652,-0.202
17.320,0.038,-0.911,-0.091
17.360,0.560,-0.434,-0.107
17.400,1.109,-0.236,-0.248
17.440,1.082,-0.732,-0.232
17.480,3.537,-0.728,-0.377
17.520,1.723,0.126,-0.617
17.560,-0.130,0.922,-0.903
17.600,0.362,1.044,-0.831
17.640,-0.080,0.675,-0.659
17.680,-0.122,1.147,-0.819
17.720,0.107,1.639,-0.983
17.760,0.191,2.005,-0.979
17.800,0.736,2.801,-0.945
17.840,1.410,2.969,-0.903
17.880,1.277,2.378,-0.991
17.920,3.197,2.348,-0.976
17.960,0.842,1.738,-1.151
18.000,0.415,1.437,-1.056
18.040,0.911,0.987,-1.319
18.080,0.663,-0.027,-2.157
18.120,1.139,0.175,-2.340
18.160,-0.042,2.409,-1.665
18.200,9.432,3.914,-0.046
18.240,-1.155,0.564,-0.198
18.280,-3.350,-1.410,-1.124
18.320,3.777,-1.105,-1.803
18.360,1.159,-1.075,-1.056
18.400,-1.433,-0.857,-0.572
18.440,2.218,-0.164,-1.101
18.480,1.764,-0.248,-1.090
18.520,-0.796,-0.252,-0.964
18.560,3.758,0.175,-0.713
18.600,-2.176,-0.751,-0.583
18.640,-0.713,-0.896,-0.861
18.680,-0.042,-0.560,-0.739
18.720,0.274,-0.415,-0.332
18.760,0.781,-0.377,-0.362
18.800,-0.149,-0.404,-0.602
18.840,-1.277,-0.526,-0.229
18.880,-1.193,-0.781,-0.034
18.920,-0.972,-0.278,0.164
18.960,-0.583,0.229,0.320
