time,x-rotation,y-rotation,z-rotation
32.240,-11.932,-6.814,8.784
32.280,-11.250,-4.367,10.518
32.320,-20.271,-0.644,12.832
32.360,-4.394,-0.111,11.696
32.400,-5.648,-1.227,11.612
32.440,-4.840,-4.832,9.402
32.480,-10.793,-10.499,7.908
32.520,-18.731,-10.972,9.695
32.560,-17.005,-6.719,10.099
32.600,-12.309,-5.972,9.337
32.640,-14.200,-6.079,7.854
32.680,-16.620,-3.575,5.724
32.720,-19.722,0.838,4.958
32.760,-17.271,3.967,3.380
32.800,-5.465,3.967,0.816
32.840,-5.808,3.773,-0.625
32.880,1.128,4.558,-2.523
32.920,7.466,5.114,-3.895
32.960,4.676,5.107,-4.489
33.000,7.504,5.949,-5.164
33.040,10.179,6.829,-5.038
33.080,9.226,6.936,-4.409
33.120,10.838,6.993,-3.746
33.160,10.979,6.764,-3.441
33.200,6.021,6.334,-2.980
33.240,5.130,6.197,-2.405
33.280,3.594,5.728,-1.620
33.320,1.204,4.741,-0.663
33.360,1.528,3.887,-0.514
33.400,0.252,3.110,-0.560
33.440,0.995,2.340,-0.454
33.480,2.336,1.345,-0.362
33.520,2.919,0.286,-0.210
33.560,1.833,0.011,0.141
33.600,1.341,-0.206,0.518
33.640,1.513,-0.518,0.697
33.680,0.595,-0.663,0.774
33.720,2.218,-0.941,0.412
33.760,-0.682,-1.345,0.415
33.800,-2.268,-0.793,0.606
33.840,-1.239,-0.511,0.454
33.880,-0.202,-0.572,0.343
33.920,-2.374,-0.370,0.434
33.960,-0.164,0.476,-0.408
34.000,-1.128,0.530,-0.324
34.040,1.414,0.217,-0.351
34.080,0.183,0.785,-0.095
34.120,0.587,0.297,-0.240
34.160,1.288,0.274,-0.118
34.200,0.130,0.511,-0.160
34.240,0.301,0.156,-0.297
34.280,2.229,0.606,-0.408
34.320,0.556,0.736,-0.297
34.360,0.659,0.823,-0.617
34.400,-0.171,0.343,-0.572
34.440,-1.643,0.636,-0.095
34.480,-0.461,1.189,-0.671
34.520,-0.187,1.471,-0.636
34.560,0.400,1.395,-0.640
34.600,0.595,1.090,-0.736
34.640,1.056,0.880,-0.583
34.680,0.446,0.191,-0.412
34.720,0.770,0.354,-0.248
34.760,0.492,0.149,-0.160
34.800,1.425,0.149,-0.206
34.840,1.132,0.072,-0.252
34.880,1.170,0.061,-0.210
34.920,2.256,0.206,-0.332
34.960,2.043,0.366,-0.488
35.000,0.114,0.229,-0.240
35.040,0.450,0.568,-0.240
35.080,1.376,0.732,-0.332
35.120,0.362,0.629,-0.351
35.160,0.610,0.389,-0.598
35.200,0.183,0.297,-0.621
35.240,0.217,0.278,-0.671
35.280,0.370,0.564,-0.720
35.320,-0.290,0.713,-0.598
35.360,-0.057,0.499,-0.206
35.400,0.171,0.320,-0.431
35.440,0.774,0.351,-0.648
35.480,-0.232,0.614,-0.450
35.520,0.023,0.709,-0.434
35.560,0.008,0.579,-0.393
35.600,0.145,0.736,-0.400
35.640,0.126,0.736,-0.473
35.680,0.065,0.431,-0.556
35.720,1.174,0.293,-0.671
35.760,1.052,0.640,-0.537
35.800,0.732,0.678,-0.457
35.840,0.385,0.454,-0.404
35.880,1.334,0.514,-0.393
35.920,0.869,0.617,-0.282
35.960,0.926,0.473,-0.293
36.000,0.507,0.415,-0.438
36.040,-0.431,0.438,-0.541
36.080,1.193,0.309,-0.591
36.120,1.833,0.332,-0.541
36.160,1.063,0.522,-0.408
36.200,0.332,0.522,-0.404
36.240,0.293,0.431,-0.488
36.280,0.194,0.564,-0.431
36.320,0.724,0.667,-0.419
36.360,0.038,0.751,-0.313
36.400,-0.278,0.785,-0.324
36.440,0.587,0.766,-0.404
36.480,-0.099,0.633,-0.305
36.520,-0.038,0.446,-0.351
36.560,0.191,0.461,-0.476
36.600,0.423,0.503,-0.514
36.640,0.591,0.545,-0.427
36.680,0.476,0.526,-0.484
36.720,0.633,0.591,-0.484
36.760,0.686,0.583,-0.438
36.800,0.549,0.713,-0.465
36.840,0.713,0.595,-0.541
36.880,0.393,0.629,-0.503
36.920,0.621,0.454,-0.537
36.960,0.610,0.518,-0.541
37.000,0.880,0.534,-0.572
37.040,-0.175,0.598,-0.366
37.080,0.339,0.556,-0.343
37.120,0.221,0.404,-0.278
37.160,0.126,0.412,-0.259
37.200,0.263,0.415,-0.305
37.240,0.968,0.522,-0.232
37.280,0.945,0.446,-0.393
37.320,0.842,0.282,-0.530
37.360,0.488,0.290,-0.476
37.400,1.326,0.438,-0.370
37.440,1.425,0.526,-0.457
37.480,0.911,0.564,-0.583
37.520,1.303,0.511,-0.534
37.560,1.231,0.511,-0.507
37.600,1.772,0.442,-0.595
37.640,1.029,0.476,-0.457
37.680,0.050,0.480,-0.343
37.720,0.191,0.358,-0.389
37.760,0.324,0.400,-0.328
37.800,-0.038,0.564,-0.404
37.840,-0.187,0.503,-0.473
37.880,0.271,0.366,-0.362
37.920,1.193,0.370,-0.415
37.960,0.221,0.465,-0.389
38.000,1.128,0.461,-0.484
38.040,0.503,0.454,-0.442
38.080,-0.293,0.492,-0.438
38.120,-0.362,0.663,-0.450
38.160,-0.313,0.705,-0.556
38.200,-0.625,0.667,-0.446
38.240,0.156,0.675,-0.454
38.280,0.640,0.492,-0.461
38.320,0.842,0.427,-0.446
38.360,0.640,0.621,-0.354
38.400,0.945,0.244,-0.454
38.440,1.170,0.202,-0.495
38.480,0.507,0.541,-0.354
38.520,0.789,0.534,-0.400
38.560,1.086,0.431,-0.454
38.600,0.050,0.774,-0.381
38.640,0.004,0.880,-0.404
38.680,-0.415,0.530,-0.484
38.720,-0.198,0.393,-0.572
38.760,0.404,0.686,-0.503
38.800,-0.282,0.926,-0.252
38.840,0.267,0.995,-0.171
38.880,-0.419,0.922,-0.137
38.920,-0.537,0.770,-0.244
38.960,0.000,0.617,-0.522
39.000,0.293,0.511,-0.743
39.040,-0.290,0.522,-0.720
39.080,-0.720,0.465,-0.610
39.120,-0.412,0.617,-0.461
39.160,-0.038,0.434,-0.293
39.200,0.038,0.271,-0.377
39.240,-0.171,0.351,-0.335
39.280,0.796,0.678,-0.282
39.320,0.610,0.796,-0.347
39.360,0.835,0.812,-0.431
39.400,0.663,0.747,-0.480
39.440,0.964,0.728,-0.598
39.480,1.292,0.648,-0.675
39.520,1.475,0.606,-0.579
39.560,1.467,0.385,-0.655
39.600,1.643,0.301,-0.442
39.640,1.429,0.530,-0.255
39.680,0.293,0.473,-0.313
39.720,0.713,0.358,-0.347
39.760,0.568,0.469,-0.316
39.800,-0.023,0.454,-0.290
39.840,-0.034,0.324,-0.423
39.880,0.667,0.328,-0.408
39.920,0.629,0.694,-0.244
39.960,0.400,0.591,-0.248
40.000,0.640,0.499,-0.320
40.040,0.572,0.431,-0.400
40.080,0.415,0.476,-0.381
40.120,0.343,0.465,-0.480
40.160,0.404,0.427,-0.480
40.200,1.159,0.511,-0.415
40.240,0.812,0.602,-0.412
40.280,0.595,0.526,-0.419
40.320,0.572,0.370,-0.495
40.360,0.655,0.545,-0.507
40.400,0.461,0.488,-0.370
40.440,0.175,0.332,-0.381
40.480,0.252,0.461,-0.438
40.520,-0.095,0.625,-0.393
40.560,0.202,0.564,-0.419
40.600,0.694,0.549,-0.469
40.640,0.267,0.591,-0.495
40.680,0.335,0.606,-0.450
40.720,0.560,0.583,-0.503
40.760,0.168,0.591,-0.480
40.800,0.518,0.526,-0.377
40.840,0.191,0.511,-0.263
40.880,0.473,0.457,-0.293
40.920,0.549,0.476,-0.332
40.960,0.469,0.537,-0.389
41.000,0.434,0.560,-0.457
41.040,0.602,0.583,-0.549
41.080,0.747,0.720,-0.545
41.120,-0.027,0.869,-0.423
41.160,-0.149,0.781,-0.370
41.200,0.770,0.553,-0.488
41.240,0.454,0.377,-0.362
41.280,0.694,0.290,-0.271
41.320,0.793,0.293,-0.373
41.360,0.499,0.393,-0.454
41.400,-0.030,0.495,-0.324
41.440,0.419,0.614,-0.217
41.480,0.743,0.473,-0.354
41.520,0.484,0.229,-0.469
41.560,0.739,0.130,-0.476
41.600,0.819,0.271,-0.393
41.640,0.595,0.766,-0.442
41.680,1.056,0.907,-0.579
41.720,0.857,0.781,-0.583
41.760,0.492,0.697,-0.480
41.800,0.610,0.644,-0.465
41.840,0.987,0.583,-0.587
41.880,0.922,0.560,-0.511
41.920,0.633,0.667,-0.423
41.960,0.667,0.697,-0.427
42.000,0.777,0.724,-0.492
42.040,0.690,0.686,-0.457
